id,date_recorded
69572,2011-03-14
8776,2013-03-06
34310,2013-02-25
67743,2013-01-28
19728,2011-07-13
9944,2011-03-13
19816,2012-10-01
54551,2012-10-09
53934,2012-11-03
46144,2011-08-03
49056,2011-02-20
50409,2013-02-18
36957,2012-10-14
50495,2013-03-15
53752,2012-10-20
61848,2011-08-04
48451,2011-07-04
58155,2011-09-04
34169,2011-07-22
18274,2011-02-22
48375,2011-02-27
6091,2013-02-10
58500,2011-10-04
37862,2013-11-03
51058,2013-01-21
22308,2013-02-25
55012,2013-01-16
20145,2011-07-11
19685,2013-03-05
69124,2013-03-16
46804,2011-03-23
6696,2011-03-16
57238,2013-03-19
12402,2011-03-11
41583,2011-02-23
57355,2013-03-28
67359,2011-07-16
60048,2011-03-27
16583,2011-02-20
25,2013-02-11
70238,2013-10-03
12796,2011-03-12
52019,2011-07-07
19282,2013-01-15
1843,2013-03-18
12958,2012-10-22
45111,2013-02-05
13620,2011-07-27
18864,2011-02-20
25182,2011-04-04
3228,2013-02-21
19308,2011-08-18
10745,2011-07-31
32376,2011-08-01
9417,2011-07-14
68724,2013-02-22
74197,2013-07-03
22961,2013-08-03
24593,2013-01-22
31714,2011-07-07
29952,2011-03-13
40393,2011-03-22
2127,2013-01-16
8265,2013-05-03
67433,2013-01-19
51072,2013-02-09
34255,2011-02-22
22108,2011-07-31
4720,2011-01-04
54801,2013-02-04
21990,2011-03-05
17386,2011-03-31
41609,2011-04-04
35715,2013-02-27
53970,2013-01-16
62971,2011-08-07
63542,2011-03-23
15622,2013-03-18
12903,2011-03-30
52561,2012-10-23
19415,2011-03-02
65531,2011-03-04
3675,2013-03-14
34383,2012-10-22
30423,2012-10-18
68717,2011-08-08
3688,2011-02-20
30537,2011-09-05
27312,2011-03-12
22143,2011-04-11
43237,2013-01-17
62591,2013-01-20
39920,2011-03-23
70892,2013-02-18
48593,2011-07-11
26419,2013-01-27
68554,2013-02-11
29083,2011-08-04
33379,2013-02-19
43206,2012-10-06
41743,2011-08-04
17970,2013-01-17
25693,2013-02-05
39364,2013-02-13
57580,2013-02-26
23000,2013-02-16
59902,2013-02-17
60371,2011-07-21
74246,2011-03-07
7116,2011-07-12
64063,2013-05-03
59983,2013-07-03
10784,2011-07-17
49503,2011-04-07
54248,2011-04-10
24409,2011-07-17
21068,2011-03-07
62341,2013-01-22
10837,2012-10-29
35458,2013-02-26
36038,2011-02-25
64447,2011-07-14
22897,2011-07-22
2915,2013-03-14
14016,2011-04-07
69525,2012-10-11
73061,2013-02-14
42031,2011-03-23
33235,2012-10-05
41839,2011-07-27
62002,2011-07-19
6106,2013-03-16
25915,2011-04-15
20673,2012-10-23
59475,2011-03-05
24012,2011-03-17
69107,2011-07-11
64062,2013-01-25
44002,2011-07-16
37471,2011-07-22
49585,2011-10-07
60852,2011-03-17
64130,2012-10-23
17687,2011-08-03
38876,2011-02-24
28669,2013-03-21
73769,2011-08-02
66521,2011-02-03
53167,2013-01-24
24232,2011-04-07
65788,2012-10-21
72981,2011-04-16
60983,2013-03-16
37768,2013-02-22
64880,2013-02-03
32871,2013-02-24
45564,2011-04-02
23519,2012-10-19
50173,2012-10-20
66843,2013-01-30
13815,2011-03-03
36591,2011-08-17
71845,2011-03-28
42180,2013-01-21
63632,2011-07-23
55594,2013-01-25
11787,2012-10-23
48528,2013-02-06
72678,2013-01-30
50970,2013-02-05
37840,2013-02-27
44258,2011-08-11
10715,2011-03-09
12120,2011-03-18
67980,2011-03-11
41635,2011-07-16
14884,2013-03-07
56725,2013-01-17
33037,2011-08-14
22190,2011-03-12
47459,2011-03-02
68908,2011-03-05
62670,2013-09-03
60866,2011-08-17
2136,2011-02-22
33320,2011-02-16
58126,2011-04-03
45604,2011-07-09
67428,2011-04-12
52318,2011-04-14
33347,2013-01-25
36684,2011-03-10
41034,2011-02-24
112,2011-03-14
4807,2011-04-14
41845,2013-02-22
6065,2013-03-25
37187,2013-02-28
26540,2013-01-18
8879,2012-10-10
30377,2011-08-01
20203,2013-02-27
8060,2011-02-22
59630,2011-07-03
10068,2011-07-27
34609,2011-08-05
26701,2011-07-20
46897,2013-03-13
34636,2011-03-15
52520,2013-03-18
75,2011-01-04
31626,2011-07-18
3181,2013-01-20
43098,2011-04-04
37008,2013-03-03
34853,2011-11-07
48752,2013-04-04
31132,2012-10-16
37562,2013-03-23
28740,2011-04-10
30257,2013-01-15
53212,2013-03-21
40729,2013-04-03
48695,2013-02-08
35140,2011-03-21
46814,2013-01-22
7721,2011-04-05
63695,2013-01-16
7171,2012-10-15
58838,2011-08-07
61046,2011-04-02
68347,2011-07-27
14746,2013-01-16
14952,2013-01-20
64334,2013-02-19
72374,2011-03-28
33169,2013-02-14
4907,2011-02-27
49994,2011-04-14
59588,2011-08-08
46893,2011-03-30
16944,2011-07-11
35828,2011-03-30
24377,2011-03-02
51694,2011-03-09
70241,2011-08-04
1780,2011-03-15
39490,2011-03-19
21704,2013-06-03
35193,2011-03-16
24948,2011-03-27
6076,2013-01-22
18451,2013-03-29
13042,2012-10-29
34877,2011-03-05
10891,2012-10-28
33500,2011-07-18
1012,2013-02-03
4321,2011-03-02
41162,2011-07-15
31957,2011-07-11
15815,2013-01-19
47462,2011-04-02
28110,2012-10-12
52448,2011-03-18
18832,2013-03-14
62720,2013-02-14
14326,2013-03-16
36933,2011-03-28
65093,2013-01-22
50139,2011-07-29
36455,2012-10-10
49732,2011-08-06
20200,2012-10-13
43777,2013-01-16
42497,2013-02-14
52601,2011-03-21
65530,2011-03-13
73024,2013-03-02
18842,2011-07-22
9474,2013-02-12
44434,2013-01-29
36366,2012-10-10
