id,amount_tsh,gps_height,longitude,latitude,num_private,region_code,district_code,population,construction_year,target
69572,6000.0,1390,34.93809275,-9.85632177,0,11,5,109,1999,functional
8776,0.0,1399,34.6987661,-2.14746569,0,20,2,280,2010,functional
34310,25.0,686,37.46066446,-3.82132853,0,21,4,250,2009,functional
67743,0.0,263,38.48616088,-11.15529772,0,90,63,58,1986,non functional
19728,0.0,0,31.13084671,-1.82535885,0,18,1,0,0,functional
9944,20.0,0,39.1727956,-4.76558728,0,4,8,1,2009,functional
19816,0.0,0,33.36240982,-3.76636472,0,17,3,0,0,non functional
54551,0.0,0,32.62061707,-4.22619802,0,17,3,0,0,non functional
53934,0.0,0,32.71110001,-5.14671181,0,14,6,0,0,non functional
46144,0.0,0,30.62699053,-1.25705061,0,18,1,0,0,functional
49056,0.0,62,39.20951812,-7.03413939,0,60,43,345,2011,functional
50409,200.0,1062,35.77025785,-10.57417468,0,10,5,250,1987,functional
36957,0.0,0,33.79810612,-3.2901937999999995,0,17,2,0,0,functional
50495,0.0,1368,37.09257412,-3.1817832999999998,0,3,7,1,2009,functional
53752,0.0,0,34.36407268,-3.62933335,0,17,6,0,0,functional
61848,0.0,1645,31.44412134,-8.27496163,0,15,2,200,1991,functional
48451,500.0,1703,34.64243884,-9.10618458,0,11,4,35,1978,non functional
58155,0.0,1656,34.56926611,-9.08551497,0,11,4,50,1978,non functional
34169,0.0,1162,32.92015381,-1.94786801,0,19,1,1000,1999,functional needs repair
18274,500.0,1763,34.50896732,-9.8944125,0,11,5,1,1992,functional
48375,200.0,2216,34.47342985,-9.59498965,0,11,4,4,2008,functional
6091,0.0,0,0.0,-2e-08,0,17,1,0,0,functional
58500,0.0,1510,34.58690108,-8.98001429,0,11,4,350,1978,functional needs repair
37862,500.0,672,37.94002949,-4.12559468,0,3,3,210,2011,functional
51058,0.0,1645,29.74706567,-4.49556758,0,16,3,156,2009,functional
22308,0.0,1273,37.42275132,-3.31753648,0,3,4,140,1974,functional needs repair
55012,500.0,200,39.37077651,-9.94253166,0,80,23,260,2011,functional
20145,0.0,0,31.10425712,-1.73536124,0,18,1,0,0,functional
19685,0.0,1443,37.61112572,-3.2635263,0,3,1,1,2000,non functional
69124,0.0,1256,37.06168837,-3.19198926,0,3,7,1,2002,functional
46804,0.0,0,36.1083125,-5.79099991,0,1,4,0,0,functional
6696,50.0,180,38.36355454,-6.63610419,0,6,1,150,2004,functional
57238,0.0,1481,37.49233371,-3.29062725,0,3,4,180,1972,functional needs repair
12402,0.0,1638,34.47835586,-9.71590954,0,11,5,70,1992,functional
41583,0.0,-41,39.81291224,-7.889986299999999,0,60,63,100,0,functional
57355,0.0,1546,36.61869946,-3.29300336,0,2,2,200,2000,non functional
67359,0.0,0,33.85434473,-9.63851993,0,12,3,0,0,non functional
60048,0.0,0,35.85837259,-4.6479063,0,1,1,0,0,functional
16583,4000.0,1955,35.89026429,-8.22439872,0,11,7,100,2003,functional
25,0.0,1348,30.6133054,-3.89456056,0,16,1,230,2002,non functional
70238,25.0,710,37.42002692,-3.47684942,0,3,4,50,2008,functional
12796,500.0,2469,33.92790176,-9.20464923,0,11,3,0,1986,functional
52019,500.0,1803,34.81457364,-9.03250291,0,11,4,250,2011,functional
19282,0.0,1642,34.96778863,-4.62892053,0,13,2,1,1980,non functional
1843,20.0,1007,36.80607857,-3.47855934,0,2,2,100,2000,functional needs repair
12958,0.0,0,33.34526033,-3.83899753,0,17,3,0,0,non functional
45111,20.0,240,39.08741514,-11.00060373,0,90,33,30,2004,functional needs repair
13620,0.0,0,33.5406067,-9.17290468,0,12,4,0,0,functional
18864,4000.0,1982,35.87141325,-8.22756303,0,11,7,70,2003,functional
25182,1500.0,2169,34.44128349,-9.18987766,0,11,4,20,2007,functional
3228,20.0,783,37.37285829,-3.34929238,0,3,6,10,2008,functional
19308,0.0,1545,32.04683486,-8.57166114,0,15,2,200,1973,non functional
10745,0.0,0,33.95816322,-9.44812238,0,12,3,0,0,functional
32376,0.0,0,0.0,-2e-08,0,19,6,0,0,non functional
9417,0.0,0,30.98302258,-1.68065404,0,18,1,0,0,functional
68724,20.0,766,37.34816881,-3.35653763,0,3,6,1,2008,non functional
74197,6.0,962,37.47943592,-3.36819761,0,3,4,45,2008,functional
22961,0.0,1583,36.72112734,-3.33981163,0,2,2,150,2009,non functional
24593,0.0,1703,35.56134607,-3.80687858,0,21,3,456,2000,functional
31714,0.0,0,31.45428168,-1.56388609,0,18,2,0,0,functional needs repair
29952,0.0,190,38.78943655,-5.11324963,0,4,3,200,1999,functional
40393,0.0,1670,38.37667127,-4.647289499999999,0,4,1,1,1992,non functional
2127,500.0,954,29.66972029,-4.77975837,0,16,3,567,1985,functional needs repair
8265,0.0,1365,36.94745079,-3.35002587,0,2,7,130,2002,non functional
67433,0.0,1538,34.76272634,-4.30776106,0,13,1,225,2004,functional
51072,0.0,1415,34.62159801,-5.17313618,0,13,2,1,1970,non functional
34255,0.0,1788,34.89725735,-9.203522099999999,0,11,4,50,2010,functional
22108,0.0,0,30.71609028,-1.2857798,0,18,1,0,0,non functional
4720,0.0,1366,34.55789311,-8.88959406,0,11,4,54,1978,non functional
54801,0.0,1694,29.76800862,-4.47180947,0,16,2,1,2004,non functional
21990,200.0,303,35.81898147,-8.93495018,0,5,3,280,1995,non functional
17386,0.0,0,34.46222769,-8.57578037,0,12,7,0,0,non functional
41609,0.0,0,34.24718,-8.60751263,0,12,7,0,0,non functional
